"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230006688 5514 - AGUAS DO MIRANTE 31/08/2023 LQ 2246,97 2246,97"
"Pago título: 2230006689 5514 - AGUAS DO MIRANTE 29/09/2023 LQ 2246,97 2246,97"
"Pago título: 2230006690 5514 - AGUAS DO MIRANTE 31/10/2023 LQ 2246,97 2246,97"
"Pago título: 2230006691 5514 - AGUAS DO MIRANTE 30/11/2023 LQ 2246,97 2246,97"
"Pago título: 2230006692 5514 - AGUAS DO MIRANTE 22/12/2023 LQ 2246,97 2246,97"
"Pago título: 2230006717 5553 - ASSOCIACAO MASTER DA 31/07/2023 LQ 1616,34 1616,34"
"Pago título: 2230006735 5575 - FONTE GELO LTDA 31/07/2023 LQ 243,69 243,69"
"Pago título: 2230006741 5601 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 2586,08 2586,08"
"Pago título: 2230006747 5606 - AROMA BIOENERGIA LTD 31/07/2023 LQ 281,34 281,34"
"Pago título: 2230006765 5622 - CLEUSA TERESINHA PIO 31/07/2023 LQ 223,5 223,5"
"Pago título: 2230006771 5628 - SAFRA INDUSTRIA E CO 31/07/2023 LQ 1268,63 1268,63"
"Pago título: 2230006777 5643 - MARCELO ALVES PEREIR 31/07/2023 LQ 285,44 285,44"
"Pago título: 2230006789 5652 - CONDOMINIO D. PEDRO 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230006795 5654 - FUNDICAO REGALI BRAS 31/07/2023 LQ 639,59 639,59"
"Pago título: 2230006825 5805 - QUIBRITA MINERADORA 31/07/2023 LQ 350,93 350,93"
"Pago título: 2230006873 6366 - SOCIEDADE AGOSTINIAN 31/07/2023 LQ 336,97 336,97"
"Pago título: 2230006879 6490 - USINA IRB S.A. 31/07/2023 LQ 7219,79 7219,79"
"Pago título: 2230006891 6600 - TERRA AZUL MARKETING 31/07/2023 LQ 206,33 206,33"
"Pago título: 2230006915 6849 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 707,52 707,52"
"Pago título: 2230006927 6918 - RAMOS & RIBEIRO EMPR 31/07/2023 LQ 342,52 342,52"
"Pago título: 2230006939 6966 - TONINPAR EMPREENDIME 31/07/2023 LQ 482,56 482,56"
"Pago título: 2230006945 6995 - SPAL INDUSTRIA BRASI 31/07/2023 LQ 583,58 583,58"
"Pago título: 2230006951 7002 - RAPIDO LUXO CAMPINAS 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230006957 7027 - ETIQUETTA BRANCA IND 31/07/2023 LQ 255,31 255,31"
"Pago título: 2230006963 7129 - POUSADA CHALES DO TH 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230006981 7213 - AGUAS DE MAIRIPORA L 31/07/2023 LQ 975,88 975,88"
"Pago título: 2230006987 7226 - ASSOCIACAO DE MORADO 31/07/2023 LQ 1228,39 1228,39"
"Pago título: 2230006993 7252 - CRJP LOTEAMENTOS SPE 31/07/2023 LQ 536,73 536,73"
"Pago título: 2230007017 7321 - COMPANHIA DE SANEAME 31/07/2023 LQ 995,39 995,39"
"Pago título: 2230007023 7322 - CAMARGO COMPANHIA DE 31/07/2023 LQ 390,33 390,33"
"Pago título: 2230007059 7351 - COMPANHIA DE SANEAME 31/07/2023 LQ 3205,8 3205,8"
"Pago título: 2230007071 7367 - CONDOMINIO RESIDENCI 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230007089 7379 - AGROPLANTAS FLORES L 31/07/2023 LQ 336,4 336,4"
"Pago título: 2230007095 7659 - LUIZ BASILIO REANI 31/07/2023 LQ 214,16 214,16"
"Pago título: 2230007101 7689 - WICKBOLD & NOSSO PAO 31/07/2023 LQ 986,56 986,56"
"Pago título: 2230007107 7704 - ASS DOS PROPRIETARIO 31/07/2023 LQ 381,34 381,34"
"Pago título: 2230007113 7707 - SORVETES JUNDIA INDU 31/07/2023 LQ 847,34 847,34"
"Pago título: 2230007125 7715 - CHT BRASIL QUIMICA L 31/07/2023 LQ 379,01 379,01"
"Pago título: 2230007191 7740 - ASSOC. DOS MORADORES 31/07/2023 LQ 248,29 248,29"
"Pago título: 2230007209 7745 - AGUAS DE TUIUTI SPE 31/07/2023 LQ 5537,65 5537,65"
"Pago título: 2230007221 7747 - SAMSUNG ELETRONICA D 31/07/2023 LQ 475,41 475,41"
"Pago título: 2230007222 7747 - SAMSUNG ELETRONICA D 31/08/2023 LQ 475,39 475,39"
"Pago título: 2230007223 7747 - SAMSUNG ELETRONICA D 29/09/2023 LQ 475,39 475,39"
"Pago título: 2230007224 7747 - SAMSUNG ELETRONICA D 31/10/2023 LQ 475,39 475,39"
"Pago título: 2230007225 7747 - SAMSUNG ELETRONICA D 30/11/2023 LQ 475,39 475,39"
"Pago título: 2230007226 7747 - SAMSUNG ELETRONICA D 22/12/2023 LQ 475,39 475,39"
"Pago título: 9000007214 3471 - ALTO DA COLINA VERDE 31/07/2023 LQ 763,78 763,78"
"Pago título: 9000007370 951 - SERVICO AUTONOMO DE A 31/07/2023 LQ 10000 10000"
"Pago título: 9000007433 5561 - AGUA DO JAGUARI EMPR 31/07/2023 LQ 2161,7 2161,7"
"Pago título: 9000007459 4404 - S. A. PELEGRINO - ME 31/07/2023 LQ 923,58 923,58"
"Pago título: 9000007462 472 - LINDE GASES LTDA 31/07/2023 LQ 665,02 665,02"
"Pago título: 9000007465 2409 - TITO ENRIQUE DA SILV 31/07/2023 LQ 878,3 878,3"
"Pago título: 9000007470 7561 - LEONARDO CORREA BARR 31/07/2023 LQ 255,8 255,8"
"Pago título: 9000007476 7752 - CONDOMINIO RESIDENCI 31/07/2023 LQ 219,57 219,57"
"Pago título: 9000007480 239 - AMCOR PACKAGING DO BR 31/07/2023 LQ 226,78 226,78"
"Pago título: 9000007482 5539 - SPEEDY INCORPORACOES 31/07/2023 LQ 1415,83 1415,83"
"Pago título: 9000007490 1817 - TECITEX TINTURARIA E 31/07/2023 LQ 375,88 375,88"
"Pago título: 9000007491 5413 - SECRETARIA DA ADMINI 31/07/2023 LQ 3035,67 3035,67"
"Cancelado título: 2230000647 3579 - ADM ARMAZENS GERAIS 31/07/2023 BX 192,5 0"
"ERRO! Operação desconhecida: 2230000133 922 - ASSOC DE FUNCIONARIOS 02/08/2023 VC 316,72 0"
"ERRO! Operação desconhecida: 2230000751 4030 - EMBRASATEC INDUSTRIA 04/08/2023 VC 396,84 0"
"ERRO! Operação desconhecida: 2230000870 5188 - WEIR DO BRASIL LTDA. 10/08/2023 VC 143,61 0"
"ERRO! Operação desconhecida: 2230000888 5401 - MARZO VITORINO - IND 03/08/2023 VC 147,27 0"
"ERRO! Operação desconhecida: 2230001511 156 - EMBRASATEC INDUSTRIA 04/08/2023 VC 201,81 0"
"ERRO! Operação desconhecida: 2230001706 2812 - CONDOMINIO PRO-INDIV 14/08/2023 VC 230,74 0"
"ERRO! Operação desconhecida: 2230004761 1789 - CENTRAIS DE ABASTECI 08/08/2023 VC 796,46 0"
