"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2118003683 3666 - RAUL FERREIRA LEITE 30/06/2021 LQ 420,85 420,85"
"Pago título: 2118003691 3673 - PLATLOG IMPORTA  O, 30/06/2021 LQ 2144 2144"
"Pago título: 2118003699 3679 - CMR IND STRIA E COM 30/06/2021 LQ 392,99 392,99"
"Pago título: 2118003707 3683 - NOVAPORCELANATO IND 30/06/2021 LQ 988,09 988,09"
"Pago título: 2118003723 3701 - ASSOCIA  O DE S CIO 30/06/2021 LQ 1207,67 1207,67"
"Pago título: 2118003739 3704 - I.S. COM RCIO DE  G 30/06/2021 LQ 279,96 279,96"
"Pago título: 2118003747 3720 - J.L. PAULO & CIA LT 30/06/2021 LQ 209,34 209,34"
"Pago título: 2118003795 3851 - USINA GRANELLI LTDA 30/06/2021 LQ 1587,98 1587,98"
"Pago título: 2118003803 3857 - CRS MINERA  O IND S 30/06/2021 LQ 997,11 997,11"
"Pago título: 2118003819 3899 - ASSOCIA  O RESIDENC 30/06/2021 LQ 761,69 761,69"
"Pago título: 2118003827 3908 - TANSAN IND STRIA QU 30/06/2021 LQ 856,8 856,8"
"Pago título: 2118003835 3926 - HWT PROMO  ES ESPOR 30/06/2021 LQ 337,6 337,6"
"Pago título: 2118003851 3954 - MARCO ANTONIO TONOL 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118003859 3961 - INSTITUTO EDUCACION 30/06/2021 LQ 356,61 356,61"
"Pago título: 2118003867 3971 - VIEIRA E RODRIGUES 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118003883 3984 - BELEM TRANSPORTES E 30/06/2021 LQ 372,67 372,67"
"Pago título: 2118003891 3992 - HOTEL FAZENDA HARAS 30/06/2021 LQ 428,17 428,17"
"Pago título: 2118003907 4059 - ATI GEL FRUTAS CONG 30/06/2021 LQ 205,58 205,58"
"Pago título: 2118003915 4116 - TARTALIA EMPREENDIM 30/06/2021 LQ 475,75 475,75"
"Pago título: 2118003939 4131 - ASSOCIACAO DE AMIGO 30/06/2021 LQ 241,35 241,35"
"Pago título: 2118003947 4197 - ASSOCIA  O DOS PROP 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118003971 4288 - PTM AGRICOLA E PART 30/06/2021 LQ 471,78 471,78"
"Pago título: 2118003987 4315 - AGE DO BRASIL INDUS 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118004003 4330 - CPD LOCADORA DE VEI 30/06/2021 LQ 1097,88 1097,88"
"Pago título: 2118004011 4356 - CONDOMINIO RESIDENC 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118004019 4358 - CONSTIC EMPREENDIME 30/06/2021 LQ 523,14 523,14"
"Pago título: 2118004027 4361 - RAUL FERREIRA LEITE 30/06/2021 LQ 402,55 402,55"
"Pago título: 2118004059 4481 - CLARIPEL INDUSTRIA 30/06/2021 LQ 1308,92 1308,92"
"Pago título: 2118004075 4519 - IVO ZARZUR ADMINIST 30/06/2021 LQ 5271,63 5271,63"
"Pago título: 2118004083 4556 - ASSOCIA  O DE MELHO 30/06/2021 LQ 372 372"
"Pago título: 2118004099 4600 - ALMEIDA PISOS E REV 30/06/2021 LQ 274,47 274,47"
"Pago título: 2118004107 4631 - AGROPECU RIA CAPUAV 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118004115 4641 - DYNATECH IND STRIAS 30/06/2021 LQ 394,42 394,42"
"Pago título: 2118004131 4654 - ASSOC DOS PROP DE L 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118004139 4697 - MARFRIG GLOBAL FOOD 30/06/2021 LQ 326,66 326,66"
"Pago título: 2118004163 4779 - FUNDACAO CENTRO DE 30/06/2021 LQ 375,84 375,84"
"Pago título: 2118004171 4783 - CORREIAS MERC RIO S 30/06/2021 LQ 212,99 212,99"
"Pago título: 2118004179 4784 - ASSOCIA  O DOS PROP 30/06/2021 LQ 394,32 394,32"
"Pago título: 2118004195 4827 - BOM PEIXE INDUSTRIA 30/06/2021 LQ 234,21 234,21"
"Pago título: 2118004219 4869 - ASSOCIA  O DOS MORA 30/06/2021 LQ 296,43 296,43"
"Pago título: 2118004227 4870 - ASSOCIA  O MELHORES 30/06/2021 LQ 312,9 312,9"
"Pago título: 2118004235 4891 - LOTEAMENTO IMPERIAL 30/06/2021 LQ 731,92 731,92"
"Pago título: 2118004259 4916 - CLUBE ATL TICO VALI 30/06/2021 LQ 216,01 216,01"
"Pago título: 2118004291 4992 - AGUA NOGUEIRENSE LT 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118004315 5040 - CONDOM NIO GARNET 30/06/2021 LQ 397,43 397,43"
"Pago título: 2118004355 5082 - ELLOS EMPREENDIMENT 30/06/2021 LQ 296,43 296,43"
"Pago título: 2118004363 5161 - MISTER GELO IND. DE 30/06/2021 LQ 454,12 454,12"
"Pago título: 2118004371 5168 - NEMPOP IND STRIA QU 30/06/2021 LQ 496,79 496,79"
"Pago título: 2118004387 5261 - CIA DE SANEAMENTO B 30/06/2021 LQ 11345,15 11345,15"
"Pago título: 2118004403 5306 - ASSOCIACAO DE AMIGO 30/06/2021 LQ 274,47 274,47"
"Pago título: 2118004411 5323 - ERCA IND STRIA E CO 30/06/2021 LQ 463,56 463,56"
"Pago título: 2118004451 5404 - ASSOC DE CONGRESSOS 30/06/2021 LQ 539,47 539,47"
"Pago título: 2118004459 5409 - TATIANA CRISTINA DE 30/06/2021 LQ 212,08 212,08"
"Pago título: 2118004475 5416 - ZARAPLAST S.A 30/06/2021 LQ 561,75 561,75"
"Pago título: 2118004507 5443 - ASSOC DOS PROP E MO 30/06/2021 LQ 208,65 208,65"
"Pago título: 2118004515 5464 - INSTITUTO ADVENTIST 30/06/2021 LQ 342,8 342,8"
"Pago título: 2118004539 5487 - ASSOC DOS PROPR DE 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118004547 5504 - LUIZ GUILHERME SART 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118004555 5514 -  GUAS DO MIRANTE 30/06/2021 LQ 294,6 294,6"
"Pago título: 2118004571 5531 - MARILIZE PEZZO ROSS 30/06/2021 LQ 786,08 786,08"
"Pago título: 2118004579 5539 - SPEEDY INCORPORA  E 30/06/2021 LQ 315,91 315,91"
"Pago título: 2118004595 5553 - ASSOCIA  O MASTER D 30/06/2021 LQ 1212,27 1212,27"
"Pago título: 2118004611 5560 - WT NEG CIOS IMOBILI 30/06/2021 LQ 481,6 481,6"
"Pago título: 2118004635 5599 - COOPERATIVA PECU RI 30/06/2021 LQ 3716 3716"
"Pago título: 2118004643 5601 - ASSOCIA  O DOS PROP 30/06/2021 LQ 1939,58 1939,58"
"Pago título: 2118004659 5628 - SAFRA INDUSTRIA E C 30/06/2021 LQ 1600,51 1600,51"
"Pago título: 2118004667 5643 - MARCELO ALVES PEREI 30/06/2021 LQ 214,09 214,09"
"Pago título: 2118004707 5694 - R. BOQUINO TRANSPOR 30/06/2021 LQ 567,3 567,3"
"Pago título: 2118004731 5773 - OWB INDUSTRIA DE AU 30/06/2021 LQ 230,15 230,15"
"Pago título: 2118004747 5803 - ASSOCIA  O DOS AMIG 30/06/2021 LQ 488,78 488,78"
"Pago título: 2118004763 5861 - ASSOCIA  O DESPORTI 30/06/2021 LQ 336,65 336,65"
"Pago título: 2118004779 5870 - VILA HIPICA EMPREEN 30/06/2021 LQ 342,54 342,54"
"Pago título: 2118004795 5907 - TSI - EMPREENDIMENT 30/06/2021 LQ 248,85 248,85"
"Pago título: 2118004835 6366 - SOCIEDADE AGOSTINIA 30/06/2021 LQ 505,48 505,48"
"Pago título: 2118004843 6490 - USINA IRB S.A. 30/06/2021 LQ 10793,41 10793,41"
"Pago título: 2118004883 6784 - CONDOM NIO RESIDENC 30/06/2021 LQ 330,71 330,71"
"Pago título: 2118004899 6889 - EXTRAMIX CONCRETO L 30/06/2021 LQ 376,46 376,46"
"Pago título: 2118004907 6890 - SP TINTAS E COMERCI 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118004923 6918 - RAMOS & RIBEIRO EMP 30/06/2021 LQ 489,4 489,4"
"Pago título: 2118004931 6923 - PAULO CASTEJON GUER 30/06/2021 LQ 2788,6 2788,6"
"Pago título: 2118004939 6935 - ALTO DO SION EMPREE 30/06/2021 LQ 485,47 485,47"
"Pago título: 2118004947 6962 - BRAVO ARMAZ NS GERA 30/06/2021 LQ 209,15 209,15"
"Pago título: 2118004955 6966 - TONINPAR EMPREENDIM 30/06/2021 LQ 564,21 564,21"
"Pago título: 2118004963 6995 - SPAL IND STRIA BRAS 30/06/2021 LQ 688,28 688,28"
"Pago título: 2118004987 7011 - JS ESPUMAS FLEX VEI 30/06/2021 LQ 259,08 259,08"
"Pago título: 2118004995 7027 - ETIQUETTA BRANCA IN 30/06/2021 LQ 370,36 370,36"
"Pago título: 2118005003 7051 - IRM OS SEGEREN AGRO 30/06/2021 LQ 307,79 307,79"
"Pago título: 2118005011 7129 - POUSADA CHALES DO T 30/06/2021 LQ 588,28 588,28"
"Pago título: 2118005035 7159 - FLAVOUR MIX INDUSTR 30/06/2021 LQ 540,88 540,88"
"Pago título: 2118005075 7294 - ASSOCIA  O DE PROPR 30/06/2021 LQ 249,86 249,86"
"Pago título: 2118005083 7298 - J. ANDRADE EMPREEND 30/06/2021 LQ 470,63 470,63"
"Pago título: 2118005091 7306 - TRANSPORTADORA FREZ 30/06/2021 LQ 454,76 454,76"
"Pago título: 2118005107 7321 - COMPANHIA DE SANEAM 30/06/2021 LQ 605,83 605,83"
"Pago título: 2118005115 7322 - CAMARGO COMPANHIA D 30/06/2021 LQ 400,25 400,25"
"Pago título: 2118005163 7348 - JATOB  EMPREENDIMEN 30/06/2021 LQ 270,03 270,03"
"Pago título: 2118005211 7379 - AGROPLANTAS FLORES 30/06/2021 LQ 319,35 319,35"
"Pago título: 2118005235 7659 - LUIZ BAS LIO REANI 30/06/2021 LQ 321,25 321,25"
"Pago título: 9000005775 1134 - MUNICIPIO DE SUMARE 30/06/2021 LQ 50000 50000"
"Pago título: 9000005865 3984 - BELEM TRANSPORTES E 30/06/2021 LQ 359,9 359,9"
"Pago título: 9000005892 5295 - CUSCOVILLE EMPREENDI 30/06/2021 LQ 646,25 646,25"
"Pago título: 9000005908 930 - SERVICO AUTONOMO DE A 30/06/2021 LQ 3457,35 3457,35"
"Pago título: 9000005927 867 - ECTX S/A 30/06/2021 LQ 12425,16 12425,16"
"Pago título: 9000005945 199 - SUPERMERCADOS CAVICCH 30/06/2021 LQ 300,75 300,75"
"Pago título: 9000005956 900 - DANA INDUSTRIAS LTDA 30/06/2021 LQ 627,71 627,71"
"Pago título: 9000005970 3275 - UNIMED DE PIRACICABA 30/06/2021 LQ 1487,03 1487,03"
"Pago título: 9000005972 3768 - VIMASTER INDUSTRIA E 30/06/2021 LQ 385,35 385,35"
"Pago título: 9000005986 5426 - SUPERMERCADOS CAVICC 30/06/2021 LQ 205,87 205,87"
"Pago título: 9000005992 2359 - AGROPECUARIA TUIUTI 30/06/2021 LQ 3712,5 3712,5"
"Pago título: 9000006002 3951 - ARCELORMITTAL S.A. 30/06/2021 LQ 8980,46 8980,46"
"Pago título: 9000006010 828 - SERVICO AUTONOMO DE A 30/06/2021 LQ 49153,61 49153,61"
"Pago título: 9000006022 822 - AGUAS DE HOLAMBRA SAN 30/06/2021 LQ 9511,91 9511,91"
"Pago título: 9000006038 1173 - MASTERCOR BENEFICIAM 30/06/2021 LQ 224,71 224,71"
"Pago título: 9000006052 2655 - JOAO CARLOS LEME RIB 30/06/2021 LQ 588,98 588,98"
"Pago título: 9000006060 1862 - DOR RIO CONFECCAO LT 30/06/2021 LQ 395,96 395,96"
"Pago título: 9000006077 2117 - IPEL - ITIBANYL PROD 30/06/2021 LQ 453,98 453,98"
"Pago título: 9000006082 6784 - CONDOMINIO RESIDENCI 30/06/2021 LQ 344,11 344,11"
"Pago título: 9000006083 1713 - JACOBS DOUWE EGBERTS 30/06/2021 LQ 640,34 640,34"
"Pago título: 9000006084 1140 - VIA VAREJO S/A 30/06/2021 LQ 313,23 313,23"
"Pago título: 9000006085 4978 - HOTEIS ROYAL PALM PL 30/06/2021 LQ 258,93 258,93"
"Pago título: 9000006086 4978 - HOTEIS ROYAL PALM PL 30/06/2021 LQ 256,38 256,38"
"Pago título: 9000006087 3491 - H2ORA DISTRIBUIDORA 30/06/2021 LQ 2213,12 2213,12"
"Pago título: 9000006095 7422 - DANIEL CARDOSO MENDO 30/06/2021 LQ 435,02 435,02"
"Pago título: 9000006096 760 - LETICIA APARECIDA MAR 30/06/2021 LQ 226,26 226,26"
"Pago título: 9000006098 7323 - WWCE INVESTIMENTOS E 30/06/2021 LQ 469,27 469,27"
"Pago título: 9000006099 7327 - SUPERMERCADOS DALBEN 30/06/2021 LQ 424,54 424,54"
"Pago título: 9000006100 2172 - FARMINA PET FOODS BR 30/06/2021 LQ 684,72 684,72"
"Pago título: 9000006102 3119 - FDC - EMPREENDIMENTO 30/06/2021 LQ 408,36 408,36"
"Pago título: 9000006113 5772 - CORIL TRANSPORTES LT 30/06/2021 LQ 643,44 643,44"
"Pago título: 9000006114 1585 - HORTEL HOTELARIA LTD 30/06/2021 LQ 255,31 255,31"
"Pago título: 9000006121 7213 - AGUAS DE MAIRIPORA L 30/06/2021 LQ 975,88 975,88"
"Pago título: 9000006128 4826 - ATACADAO S.A. 30/06/2021 LQ 505,18 505,18"
"Pago título: 9000006129 4596 - POLIMIX CONCRETO LTD 30/06/2021 LQ 454,67 454,67"
"Pago título: 9000006138 581 - ATACADAO S/A 30/06/2021 LQ 453,12 453,12"
"Pago título: 9000006139 2137 - PREFEITURA MUNICIPAL 30/06/2021 LQ 434,75 434,75"
"Pago título: 9000006142 4818 - NOTRE DAME INTERMEDI 30/06/2021 LQ 606,23 606,23"
"Pago título: 9000006144 2842 - CONDOMINIO RESIDENCI 30/06/2021 LQ 510,15 510,15"
"Pago título: 9000006147 1597 - PREFEITURA MUNICIPAL 30/06/2021 LQ 558,25 558,25"
"Pago título: 9000006149 264 - ENXUTO SUPERMERCADOS 30/06/2021 LQ 499,06 499,06"
"Pago título: 9000006150 362 - FUNDICAO SAO FRANCISC 30/06/2021 LQ 508,24 508,24"
"Pago título: 9000006151 319 - AGROPECUARIA SANTA RO 30/06/2021 LQ 418,68 418,68"
"Pago título: 9000006155 3815 - CONDOMINIO AMABILIS 30/06/2021 LQ 479,5 479,5"
"Pago título: 9000006157 2140 - INDUSTRIAS ROMI S/A 30/06/2021 LQ 458,41 458,41"
"Pago título: 9000006158 413 - INDUSTRIAS ROMI S/A 30/06/2021 LQ 456,68 456,68"
"Pago título: 9000006159 3910 - R. C. A. SERVICOS DE 30/06/2021 LQ 251,82 251,82"
"Pago título: 9000006164 1414 - CERVEJARIA ASHBY LTD 30/06/2021 LQ 461,01 461,01"
"Pago título: 9000006165 3720 - J.L. PAULO e CIA LTD 30/06/2021 LQ 217,82 217,82"
"Pago título: 9000006168 993 - RIGESA CELULOSE PAPEL 30/06/2021 LQ 430,25 430,25"
"Pago título: 9000006173 4694 - WALDIR PARISE E OUTR 30/06/2021 LQ 477,81 477,81"
"Pago título: 9000006174 5183 - PARQUE TURISTICO SER 30/06/2021 LQ 505,18 505,18"
"Pago título: 9000006176 2675 - CORR PLASTIK LTDA 30/06/2021 LQ 447,09 447,09"
"Pago título: 9000006177 3545 - TEXTIL CARUARU LTDA. 30/06/2021 LQ 470,84 470,84"
"Pago título: 9000006180 3927 - FLAMBOIA ALIMENTOS L 30/06/2021 LQ 477,41 477,41"
"Pago título: 9000006182 449 - ASSOCIACAO PRO AGUA T 30/06/2021 LQ 1660,49 1660,49"
"Pago título: 9000006186 658 - LUIZ DE MORAES BARROS 30/06/2021 LQ 433,01 433,01"
"Pago título: 9000006187 6366 - SOCIEDADE AGOSTINIAN 30/06/2021 LQ 1046,69 1046,69"
"Pago título: 9000006189 3417 - CONDOMINIO RESIDENCI 30/06/2021 LQ 475,79 475,79"
"Pago título: 9000006192 903 - MINASA TRADING INTERN 30/06/2021 LQ 2418,31 2418,31"
"Pago título: 9000006195 1660 - CCL INDUSTRIES DO BR 30/06/2021 LQ 176,75 176,75"
"Pago título: 9000006196 6982 - ASSOCIACAO DOS MORAD 30/06/2021 LQ 443,47 443,47"
"Pago título: 9000006197 4817 - MAT S.A. 30/06/2021 LQ 454,68 454,68"
"Pago título: 9000006200 4782 - D FORNARI e CIA LTDA 30/06/2021 LQ 431,93 431,93"
"Pago título: 9000006201 3463 - PREFEITURA MUNICIPAL 30/06/2021 LQ 433,01 433,01"
"Pago título: 9000006204 4895 - VYLLA EMPREENDIMENTO 30/06/2021 LQ 208,15 208,15"
"Pago título: 9000006206 2185 - CFI CONSULTORIA, PRO 30/06/2021 LQ 736,86 736,86"
"Pago título: 9000006214 932 - GREMIO RECR EMPREGADO 30/06/2021 LQ 1173,28 1173,28"
"Pago título: 9000006216 917 - BMB BELGO MINEIRA BEK 30/06/2021 LQ 1898,05 1898,05"
"Pago título: 9000006217 2783 - PIRELLI PNEUS LTDA 30/06/2021 LQ 1160,82 1160,82"
"Pago título: 9000006222 4356 - CONDOMINIO RESIDENCI 30/06/2021 LQ 454,64 454,64"
"ERRO! Operação desconhecida: 2111000187 1163 - CORREIO POPULAR S/A 05/07/2021 VC 384,54 0"
