"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"ERRO! Operação desconhecida: 2400000202 954 - AB SISTEMA DE FREIOS 04/10/2024 VC 606,31 0"
"ERRO! Operação desconhecida: 2400000269 963 - SCHOTT FLAT GLASS DO 08/10/2024 VC 416,64 0"
"ERRO! Operação desconhecida: 2400000362 7135 - ASSOCIACAO DOS PROPR 04/10/2024 VC 351,32 0"
"ERRO! Operação desconhecida: 2400000366 5424 - SOLDI INCORPORADORA 04/10/2024 VC 351,32 0"
"ERRO! Operação desconhecida: 2400000439 4464 - ASSOCIACAO PARA A GE 07/10/2024 VC 309,64 0"
"ERRO! Operação desconhecida: 2400000460 3655 - ALPHAFER CONSTRUCOES 04/10/2024 VC 303,19 0"
"ERRO! Operação desconhecida: 2400000599 2299 - BASALTO PEDREIRA E P 04/10/2024 VC 263,49 0"
"ERRO! Operação desconhecida: 2400000737 5565 - WHITE MARTINS GASES 04/10/2024 VC 222,04 0"
"ERRO! Operação desconhecida: 2400000788 1409 - ASTRA S/A INDUSTRIA 04/10/2024 VC 204,18 0"
"ERRO! Operação desconhecida: 2400001113 574 - SINTER FUTURA LTDA 04/10/2024 VC 275,84 0"
"ERRO! Operação desconhecida: 2400001277 3530 - VIDRADOS BS INDUSTRI 04/10/2024 VC 237,68 0"
"ERRO! Operação desconhecida: 2400001548 990 - ASTRA S/A INDUSTRIA E 04/10/2024 VC 256,94 0"
"ERRO! Operação desconhecida: 2400001629 7855 - ASSOC. DOS MOR. DO R 04/10/2024 VC 243,97 0"
"ERRO! Operação desconhecida: 2400001680 1482 - OLIVEIRA & OLIVEIRA 04/10/2024 VC 240,3 0"
"ERRO! Operação desconhecida: 2400001704 3527 - CARFAM EMPREENDIMENT 05/10/2024 VC 238,55 0"
"ERRO! Operação desconhecida: 2400002582 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 VC 2415,33 0"
"ERRO! Operação desconhecida: 2400002822 3310 - ELDER COSTA RODRIGUE 04/10/2024 VC 1625,55 0"
"ERRO! Operação desconhecida: 2400003034 5295 - CUSCOVILLE EMPREENDI 07/10/2024 VC 1280,84 0"
"ERRO! Operação desconhecida: 2400003050 392 - CONDOMINIO SHOPPING C 11/10/2024 VC 1265,5 0"
"ERRO! Operação desconhecida: 2400003190 25 - EXTRACAO E COMERCIO DE 04/10/2024 VC 1106,49 0"
"ERRO! Operação desconhecida: 2400003206 5168 - NEWPOP INDUSTRIA QUI 04/10/2024 VC 1097,86 0"
"ERRO! Operação desconhecida: 2400003366 1274 - GUAINUMBY TEXTIL LTD 04/10/2024 VC 905,69 0"
"ERRO! Operação desconhecida: 2400004170 1313 - KIKKOMAN DO BRASIL I 04/10/2024 VC 528,62 0"
"ERRO! Operação desconhecida: 2400004310 7877 - ASSOCIACAO PARQUE RE 01/10/2024 VC 475,74 0"
"ERRO! Operação desconhecida: 2400004774 2407 - FERRASPARI S/A INDUS 04/10/2024 VC 352,86 0"
"ERRO! Operação desconhecida: 2400004818 1097 - TERRAR INDUSTRIA E C 04/10/2024 VC 344,26 0"
"ERRO! Operação desconhecida: 2400005606 6890 - SP TINTAS E COMERCIO 04/10/2024 VC 219,56 0"
"ERRO! Operação desconhecida: 2400005662 4976 - ASTRA S/A INDUSTRIA 04/10/2024 VC 219,56 0"
